,review_title,overall_review,pros,cons,ownership_pariod,date,rating_stars,year,month,day
1921,awesome drive migration software works great,awesome drive when you can get it at the right price anything around 100 in my opinion for this drive is definitely worth it i used the free samsung migration software to clone my os on an older ssd to the new samsung drive and it worked flawlessly i was actually surprised and it was very fast i got 147mbps but that was only due to the slower speed of my old drive 147mbps was still impressive for cloning software,1 highly rated not only on newegg but on many review sites2 name brand samsung3 5 year warranty4 fast speeds on both read and write5 free samsung migration software to clone your old drive works great when transferring even the os,1 the price has gone up i purchased this on newegg on sale for 90 with coupon which was a rarity because i have not seen it anywhere else for near that price,month,2015-05-01 14:53:08,5,2015,5,1
1922,my samsung 1 terabyte ssd,,plenty of space and much faster in short works beautifully,i caught it on sale but a hefty price tag but worth it,month,2015-05-01 12:04:31,5,2015,5,1
1923,excellent ssd,,had a muskin eco ssd that died with in a week and rma d it for this and this has been rock solid ever since,i got this on sale for 169 i want to get 3 more but there 220 at the moment,year,2015-05-01 11:40:51,5,2015,5,1
1924,3 out of 4 bad in less than a week,i m done with samsung 3 out of 4 of these dying a 500gb ssd from them i ve also had to rma and now drives that were working are getting bricked by samsung s own firmware ugh,used to be good fast when they work,i wish i could say they were doa that would have made things alot easier unfortunately 3 out of 4 died over the period of one week intermitten lock ups until finally the motherboard wouldn t recognize them anymore,month,2015-04-30 17:34:30,1,2015,4,30
1925,fast drive but watch out for the horrible cloning software,did i mention the samsung cloning software is worthless and a pita,very fast great price boot up in under 12 sec the samsung magician software for managing the drive and optimizing your system once it is installed is excellent,included samsung cloning software was junk i docked this review one egg for that i know this is a hardware review but since the product contained the sw and cost me several hours of frustration it s fair game i got error after error attempt after attempt with that software i didn t feel like using the open source solutions gparted and clonezilla so i was lucky the old drive being replaced was a western digital if you have a wd drive you can download and use the acronis true image wd edition software even if you are cloning from a wd hdd to a nonwd drive do it worked like a charm by quickly re sizing my larger hdd to fit on the smaller ssd which is typical scenario these days when replacing an hdd with an ssd,month,2015-04-30 14:14:08,4,2015,4,30
1926,just wow,,this is the first time i ve jumped on the ssd train and all i can say is wow i can t believe i didn t make the switch long ago the performance on this drive is just insane fit perfectly in my corsair 500r case it has 2 5 compatibility out the gate doesn t come with sata cable but if you are buying a whole new rig like me you will have plenty to spare the samsung magician software it comes with is pretty neat too lets you monitor how healthy your ssd is and how it is performing can t recommend enough,doesn t come with cable but won t need it if you re buying a new rig anyway or if you already had one which most people should when buying this,week,2015-04-30 09:29:43,5,2015,4,30
1927,850 evo 500gb review,this was a good price per gb range for me at the time of purchase i ve used this drive as a gaming fps bf4 bfh cod s star citizen drive only for about 5 months now it performs great and i would buy again,good price for ssd sizegood manufacturer reputationgood read and write speeds,none so far,year,2015-04-29 09:47:13,5,2015,4,29
1928,awesome,will never go back to a conventional hd,i had a fresh build from the ground up with a gigabyte g 7 mobo i7 4790k msi gtx 960 and so on and finally found that i had a bottleneck in my basic hd i bought this ssd and it more than doubled my output in all areas if your building a new computer or have an existing one this will be the best addon you could possibly do for your rig,250gb is fine do not buy a 120gb cause you will regret it but i just didn t have the extra 70 bucks to get the 500 gb which would be perfect but i have 10 full games and all i need in utilities and i still have 25gb of breathing room left so its not as bad as im making it out to be,year,2015-04-29 09:11:16,5,2015,4,29
1929,beware of non intel chipsets controllers,,fast and reasonably priced if they work,bought 2 of these and apparently they are quite picky when it comes to chipset sata controller if you have an amd chipset or are running these off of a marvell hbc good luck whether these ssds are configured in a raid array or not you re going to have trouble samsung blames the chipsets controller funny because every other brand ssd works just fine in this environment so far newegg is refusing to do anything other than an exchange for identical drives of course since it is an issue with all 850 evo drives this will do me no good whatsoever looks like i ll just be out 400,month,2015-04-29 04:39:03,1,2015,4,29
1930,works in lenovo edge w series latops,wishing the price of 1tb ssd were cheaper,samsung has slightly lower working amps 4 vs 5watts to rest of 500gb ssds2 price was super nice one day special 99 3 easy to clone existing ssd from w540 raid to two new ssd via samsung supplied apps but i always preferred acronis which has lot more user options very handy when transfers to bigger drives from smaller ones,runs slightly hotter than my owm intel ssd but way faster to there some bebefits,month,2015-04-29 02:13:31,4,2015,4,29
1931,pretty nice when it boots,i hope they have a firmware update to resolve the inconsistent bootup issue,great easy to follow software to take an exisiting ssd drive that was 250gb to transfer it all to this larger drive the included software was easy enough so i didn t need acronis to do it and im sure there are instructions and such that is needed in such ssd s to make things smooth,unstable windows 7 x64 often doesn t see it in boot up and fails to find the boot drive i have 2 other ssd s 64gb that 1 is a dedicated photoshop scratch and the other i was using it for system pagefileeven bios doesn t see it in the drive list i unplug a second ssd that i use as scratch or pagefile and it works again very frustrating anyone have any insight how to fix this please chime in as i d like to give it a better review in a constant working state,week,2015-04-28 10:41:22,2,2015,4,28
1932,works as advertised,i bought 2 of these because they i caught them on sale i didn t really need them because my 830 pro was still blazing fast but i couldn t pass up the deal i got dropped them right in my computer and used the migration software that came with it and i was off and rollin if your in the market for a new ssd you cant go wrong here there may be cheaper options but i don t think you can beat the quality heredid i mention that they are fast,fast easy to install user friendly3 d memory,price very worth it though,year,2015-04-28 10:23:51,5,2015,4,28
1933,never again,,,worked with it for a month never worked i have worked on computers since 1998 never has a drive give me this much problems,month,2015-04-27 21:59:18,1,2015,4,27
1934,2 in a row dead,i can not believe a replacement drive for an upset good customer is not checked to be sure it worked,i have five samsung ssd drives 830 840 and 850,this is the replacement drive for the first 850evo and it arrived dead no response at all,week,2015-04-26 19:31:37,1,2015,4,26
1935,very fast easy to set up,i ll probably get another to run all of my games off of,this drive looks great is terribly fast just big enough for your os and some very important programs you want to run quick,none so far,month,2015-04-25 21:57:08,5,2015,4,25
1936,fast,,its faster than my old 5200rpm laptop hdd,no cons,year,2015-04-25 17:14:25,5,2015,4,25
1937,worst ssd i have ever worked with,,not i can think about,bought it from newegg arrived fast but could not let it detected by win7 or mac os yosemite this device was not even in the bios list the same sata external closure i used never had any trouble before so i had to assume the drive was faulty and returned it i waited quite some days for the replacement to come and the moment i connected it to my mac the same thing happened it could not be detected i hooked it to the pc still no luck the best i could get was an exclamation mark on a mass storage drive still it was not listed in the bios samsung magician software did not offer any help i looked into many reviews and found that same problems had been reported by others i just wasted a portion of my life to confirm others findings,week,2015-04-25 14:27:58,1,2015,4,25
1938,samsung 850 evo mz 75e500b,,bought it to replace a 5400rpm 500gb drive in a new dell 2 in 1 13 touch notebook used icronis true image that came with external usb wd to back up the original drive image before installing the ssd slipped right in with no problem booted the notebook with a usb flash stick made with true image and after copying the drive image the pc booted up within seconds much faster than with original drive works well with no problems original recovery partition is on the new drive,none to this point,month,2015-04-25 12:28:15,5,2015,4,25
1939,freaking fast,small and light weight it will mount almost anywhere if your putting it into a desktop be sure they have a small mounting area for ssd drives fractal cases have this built in or purchase a mounting bracket this drive is very small same size as a laptop hd,very fast drive i am using this in one of my linux server s and the speed is incredible boot up on a virtualized system running 2 linux vm s and 1 windows 7 vm using vmware under 15 seconds all os s loaded and operational be sure to use a 6gb s sata cable i accidently used the ones that came with my motherboard and found out they were 3gb s which hindered the performance so be sure to use 6gb s sata cables if your unsure if you have 6gb s cables then look at the cable and the markings if your still unsure just buy new ones it will be worth the small investment,making sure you have 6gb s cables this really isn t a con it s just something you need to make sure of,week,2015-04-25 06:32:23,5,2015,4,25
1940,rapid mode,,rapid mode with sata ii is like miracle price samsung data migration no bootable disc needed samsung magician,nothing so far,month,2015-04-24 05:06:56,5,2015,4,24
1941,it all depends,that s it just do your homework and make sure if you buy a samsung ssd that your bios will support running in the ahci enabled mode,well it is quiet starts right up runs cool and is faster than my old hard drive and my external usb 3 0 ssd and sata and thumb drives that being said it is operating at far less than its capacity my computer card is not sata iii but rather sata the real bugaboo is that after i get this drive and after i install it and after i load the copy and data from my old sata drive it tells me that the ahci is not enabled and i need to enable it to get the best performance out of my new ssd drive so i go to the bios and guess what it is not an option to enable the ahci mode after several hours of researching i find that it will never be possible on my computer to run either the raid mode or the ahci mode so i am just stuck with having a drive that has all the benefits that i mentioned but will never live up to its potential in my desk top owing to the bios limitations of my motherboard etc oh well my only complaint would be this information should be on the box or they should have an online program that evaluates the system of your machine and then tells you what ssd you should purchase i believe crucial does this but samsung at least did not do it with this drive and on newegg that is why i gave it a 3 rather than higher,just poor communication that s all i keep thinking as happy as i am with the new life breathed into my old compaq and the reliability factor of not always worrying about when or if the drive will fail how much happier i would be if i could receive the maximum benefit of the ssd with the quality of samsung,month,2015-04-23 18:23:28,3,2015,4,23
1942,great ssd,,i picked this up when it was on sale for 174 in any case so far it has been perfect in my macbook pro the read and write speeds are in the low 500 s which is certainly fast enough for my needs,none that i can think of this is my second evo drive and am very satisfied,month,2015-04-23 12:56:27,5,2015,4,23
1943,fast ssd,this isn t a con but the only way i could get this drive working in windows 8 1 pro 64x was to split it into 2 partitions the evga z97 stinger motherboard bios detected it windows detected it but i couldn t format it until i broke it into 2 500 gb partitions i thought i missed a step or perhaps i did something wrong with the initial setup but i also purchased the 500gb drive same model and it installed with no issues at all just an other thought,fasts lots of capacity fast lots of capacity,none,month,2015-04-23 12:52:02,5,2015,4,23
1944,great drive,,this is a fantastic drive the evga z97 stinger mb detected it on post and win 8 1 pro 64x installed on it quickly this is one seriously fast drive i installed 50 games on it as well as a host of apps windows boots in about 8 seconds if you re looking for a fast solid ssd with good capacity and speed that s hard to believe pick up one of these you will not be disappointed,none some folks list cost as a con but cost fits in a different category called cost if you want to experience the sort of improvement to your system that something like this drive delivers you have to pay for it,month,2015-04-23 12:17:14,5,2015,4,23
1945,this thing is so fast,only came with the drive wasn t a problem for me can t say enough good things about it,i didn t really understand how fast an ssd was until purchasing this item it s awesome amazing speeds good software got it for 180 seems reliable runs cool,absolutely none,month,2015-04-23 11:40:07,5,2015,4,23
1946,good ssd,,i got this ssd because it was a really good price for the storage and write speeds and also because samsung is a good brand it does come with software for if you want to migrate clone your current hdd over to it so that s a plus i had to be difficult and just do fresh installs for my os and such but i did check out the software to see how it worked pretty easy in my opinion,no real cons except ssds are so much smaller it has to hang out in my case without being supported until i get a way to affix it to one of the drive bays lol,month,2015-04-23 07:42:51,4,2015,4,23
1947,great drive,,cheap fast can you really go wrong i ve had 3 ssd over the course of a few years and they all still work i couldn t see how they would really go bad though other than a ridiculous amount of writing to it just bought the 500gig to replace my old 240 as my primary gaming ssd i love that the price keeps dropping on these,none so far,week,2015-04-23 02:28:54,5,2015,4,23
1948,2nd samsung great results,,this is the second ssd in my laptop running alongside my original 830 series ssd performance has been stellar and i have not yet run into any issues,hmm,year,2015-04-22 21:07:56,5,2015,4,22
1949,best ssd,,super fast benchmark 522 51782425 81235what can i say best ssd i ve ever owned even better than intel,non so far,month,2015-04-22 12:34:16,5,2015,4,22
1950,great drive 850 evo,migrating from my old hdd to this new ssd was simple with the,this drive is far faster that my old hhd after activating ahci in my bios it s even faster my system only has sata ii support so i can t bring the drive to it s full potential but when i upgrade this drive is going into my new machine in a raid 0 with another 850 evo,none yet,month,2015-04-22 11:14:24,5,2015,4,22
1951,if you have the time and need a hobby,in my experience the samsung cloning software is a joke i see from other reviews that it worked perfectly for some and not at all for others in my case with a fully patched win7 system it runs for half an hour or so and then reveals that if there are some problem the cloning may fail when acknowledged there is a several second pause followed by cloning failed 400180 061b34 naturally neither samsung nor the cloning tool s author apparently clonix co ltd provide any clue as to what may be wrong i ran the win7 disk check with all correction enabled it completed without incident but a second attempt to clone also failed i ve set it aside and if i have a spare day will try to install it in a linux box where i will have no illusions that any of the samsung software will work,price was right it seems to contain the storage claimed,the samsung provided software is a joke it fails to properly install the second and vital package when install all is selected once the cloning software has been forced to install it does not in my experience work see below the documentation for the software is one step beyond hieroglyphs with essentially no text precisely zero information regarding error codes or conditions,month,2015-04-21 20:20:28,2,2015,4,21
1952,worth every penny,,fast fast fast,none,month,2015-04-21 20:18:46,5,2015,4,21
1953,more space,a samsung for a really good price still gets 5 eggs,went in easily over 4x the size of my original ssd no longer crowding my root drive,almost gave it a 4 after using the data transfer had to re register my windows the transfer disk was the only new software i used in my system having to verify again may have been coincidence or maybe not also was missing a usb connector the manual referred to but am assuming the part omitted was the cause for the super secret cart price savings,day,2015-04-21 14:54:15,5,2015,4,21
1954,fast drive,,better than my 250,none yet,week,2015-04-21 14:09:26,5,2015,4,21
1955,went bad in under 2 months,very reluctant to buy another samsung ssd ever again going to go with intel instead in the future,very fast put this thing in my 13 macbook pro and everything started up close to instantly was very happy with it until it went and died on me,installed march 10th it s april 20th now as of writing this review unacceptable amount of time before going bad on me,year,2015-04-20 20:03:04,1,2015,4,20
1956,kept freezing,this money for this item is non refundable so what am i going to do with it if i can t use it,it is fast when it works,i couldn t use it for a long time it just kept freezing the computer moreover i tried to clone and it kept freezing the computer so i did a clean install and it was still freezing i guess it is not compatible with my computer and i googled the freezing problem and others are having the same problem,week,2015-04-20 16:33:05,1,2015,4,20
1957,incredible ssd,not really too important but this hovers at 35 0c for me which is 7 0c warmer than my intel 530 and 5 0c warmer than my silicon power s60 i am not interested in the rapid mode as your data will be lost if a power outage happens due to it being stored in ram at the time the speeds from it are great in benchmarks but there is very little difference actually noticed in typical computing as i stated before it does not come with a sata cable but they re cheap so it s not a big deal,bought this when it was on sale for 170 one of the best purchases made for my build absolutely incredible read speeds mirrored my windows install from an old intel 530 in 5 minutes my bios splash screen takes longer to boot than windows pushing the power button until windows boots to desktop takes about 10 15 seconds,does not come with sata cable as others have mentioned the software isn t that great but that s not worth docking any eggs since that s not the ssd fault all i used it for was mirroring the old ssd nothing wrong with the ssd itself though,month,2015-04-20 12:28:21,5,2015,4,20
1958,fast and reliable,please make sure if you are installing a fresh copy of windows on any ssd that will be your boot drive to ensure that all other drives are unplugged as windows put an entry onto my other disk s boot sector so i can t boot without the otherdrive unless i re install,very fast drive maxes out sata 6gb s bandwidth in most cases i use the drive for booting win 8 1 and gaming boot time is below 10s and i am in the first few to load into levels in games,0 issues so far,year,2015-04-20 08:58:32,5,2015,4,20
1959,great ssd bad software,though the ssd diagnostic tool works well do not use the cloning software provided i recommend acronis true imagemacrium reflect free editionthese programs i had successful images created and none of the original issues presented with samsung s magician software nothing against samsung they make one hell of an ssd but they need work on the software side,the price point for this drive it on point with other drive s out there and isn t overly expensive r w speed is immense and just amazing my computer generally booted from a hdd in about 25seconds with this ssd it boots completely in 10 starting the count from the login screen add 2 3 if you want to count the windows logo screen,software the software provided for cloning your original disk image is by no means reliable looking through the event logs after cloning many errors relating to file locations appear restore points will no longer be created automatically because the software doesn t remove the old drive from its listings those are a few examples for problems you will face the biggest and hardest to diagnose is one that i faced and that was on initial boot up sometimes the bio s wouldn t find the boot manager and would fail to boot after a reset reboot it would work perfectly fine if this issue occurs its with 95 likely hood that its the image clone and not a defective drive re image the drive with another cloning tool and see if it fixes the issue or try a fresh install if possible,week,2015-04-20 08:45:57,4,2015,4,20
1960,love it win 7 boot on sata 2 under 30 seconds,yea finally got my laptop where i wanted it got a 1tb samsung 850 evo ssd for my boot drive and the new samsung 2tb spinpoint drive for my secondary drive but my system wasn t recognizing the 2tb spinpoint in the secondary sata slot drive 1 but did recognize it in the first slot drive 0 the ssd was recognized in either slot so i switched them around changed the boot order in the cmos and voila now i have 3 terabytes drive space on my laptop and with the ssd it boots windows 7 with the multitude of stuff i have running in about 30 seconds or less and response is almost instant when starting any program love it,lots of space fast maxes out sata 2 specs recognized fine on intel series 5 chipset which is know not to recognize some sata 3 drives,samsung drive migration software that comes with it is not good will not clone the entire disk just visible partitions which makes sense because it operates in the windows environment even warns you that running open files will not be cloned so probably best to use it in safe mode i would think would not clone my disk with the oem recovery partition in win 7 and 8 on 2 different laptops i used acronis true image and it did them perfectly it reboots into it s own environment to do so,month,2015-04-19 13:19:41,5,2015,4,19
1961,best ssd on the market,i wish a had 1tb,write speed 460read speed 484 prefect 5 year warranty,only con is this drive is so good i can never go back to basic hd no cons,week,2015-04-18 19:05:54,5,2015,4,18
1962,awesome,,bought 2 of them because i couldn t beat the 95 price installed windows 7 on a 2nd gen i3 and 8 gb of ddr3 in 10 minutes boot up time is around 10 seconds absolutely amazing,was not doa,years,2015-04-18 07:29:22,5,2015,4,18
1963,outstanding,bought one to run with my os win 8 1 64 with my new 5960x build was so impressed i immediately ordered a 2nd so i could run them in raid0 gosh are they fast and solid,reasonably priced and fast in raid 0 blazing fast,none,year,2015-04-17 20:20:15,5,2015,4,17
1964,great pice,samsung is definitely a name you can trust their hardware and products across all mediums are solid and trustful i purchased this drive to replace the one that came with a pc i bought at the same time as the main drive the lack of mounting screws was disappointing as the screws that typically fit any drive did not want to fit this one at all i had to go through a bin of random screws to find some that would actually fit this drive and hold it in place there is no cables included with this drive so be sure to buy an extra sata cable if you need one also a power adapter if you need one as well this drive came with an instruction book on how to copy existing files over to this drive using a usb adapter that is not even included seems kind of odd to include anything like that when the parts needed are not included with the package overall a great buy great and solid drive and performs well,great sale price at the time of purchase 250gig ssdsamsung name that you can trust,drive comes with nothing but a manual quick install guide cd and the drive no mounting screws no sata cable no power adapter if needed,week,2015-04-17 15:04:21,4,2015,4,17
1965,replacing an 840 evo,love these drives upgraded from an 840 evo not really any reason to be honest however i decided that i was going to give my sons computer a boost by upgrading his slow hhd to a speedy ssd it made sense to give him my year old 840evo and upgrade to the 850evo in my rig the 850 evo is slightly faster overall but it is considerably faster with the random read and writes it does not suffer from the slow down issues that the 840evo has although i have not noticed any issues with the 840evo all in all a great drive i really like the samsung ssd s i have nothing bad to say about these drives buy one today no real reason to hold back if you have a slow hhd capacities are increasing and prices are dropping at 189 for 500gb you can t go wrong,fastcool and quieteasy to set upcloning software includedgood price,none,month,2015-04-17 13:52:05,5,2015,4,17
1966,2nd review update fixed the problem with bootup,,i was having problems with bios sometimes not detecting the 850 evo drive during boot up problem was that i had the drive plugged into my secondary sata3 0 6bb s marvell 88se9128 controller it runs of the south bridge and not directly off the intel chipset the slight delay in initializing the marvell controller during boot causes bios to not see the sdd in time to boot off of it doesn t always happen but often enough set your bios configuration to ahci and not ide or you ll have problems in the long run with drive efficiency degrading,none at all,year,2015-04-17 12:14:15,5,2015,4,17
1967,new world,,compare to hdd yes it is super fast,not that much,month,2015-04-17 08:08:54,4,2015,4,17
1968,mr,,works great my computer is much faster drive is totally silent i highly recommend the samsung ssd drive,the supplied cloning software package did not work we had to use a different cloning software it took about three tries with different cloning software packages before we got it right,month,2015-04-16 14:04:48,5,2015,4,16
1969,great product,,my laptop boots fast under 15 seconds great upgrade laptop is quiet and runs much cooler,need more actual comparison videos would have upgraded soonerif i had seen actual laptops with before and after comparisons of sound and timelines of actual booting,month,2015-04-16 09:29:47,5,2015,4,16
1970,blink of you ll miss it,,blisteringly fast boot from cold start to windows 8 1 desktop in 8 6 seconds 500gb is plenty of room for the os and a ton of games got it while it was still on sale for 249,too early to tell if there are any cons haven t owned it long enough,month,2015-04-16 06:19:56,5,2015,4,16
1971,good drive but,if it wasn t for the freezing i would award 5 eggs,this is an awesome drive it writes super fast i use it for os and games,the drive has been freezing up on my which in turn makes my os crash i have no clue what is causing this issue will do some more research help would be nice,week,2015-04-15 18:04:36,3,2015,4,15
1972,crashed my pc and corrupted my boot drive,,,the drive ships with software that will cost you hours of your time repairing the damage it does to your pc,day,2015-04-15 17:26:29,1,2015,4,15
1973,amazing product,,speed reliability high quality worth the money,none,year,2015-04-15 16:47:15,5,2015,4,15
1974,great drive,,this is my second samsung ssd i ve had it for a while now and so far it s been fast and reliable,none at all great drive,year,2015-04-15 02:49:26,5,2015,4,15
1975,so fast,not an amazing price but the speed is worth it,awesome speedsoftware isn t half badextremely light and small mounted on the bottom of my case with velcro,none,year,2015-04-14 21:02:39,5,2015,4,14
1976,nice ssd lousy migration software,,physical installation of the drive was pretty simple the drive is very fast and i was able to successfully migrate my windows 7 partition on the first try after i figured out how to work around the limits of the brain dead migration software the magician benchmark claims about 4 5gbytes second which is surprising since the drive claims 540mbytes sec,the installation guide was pretty useless it s basically a bunch of pictures it also covers installation into a desktop system using some kind of usb adapter i would have been pretty angry if that was required but migrating data using sata cabling worked just fine the migration software itself was designed by brain dead programmers i had about 520gb of data on my system drive which i was planning to only partially migrate the migration software had an option to select files to migrate but warned me that any files i did not migrated would be deleted and that i should back them up first that is completely unacceptable any competent software guy could write software that copied the desired files and left the rest alone secondly the method to pick files to migrate or not migrate was designed just as badly i was allowed to only select files with certain extensions and no way to pick an entire directory or set of directories so i ended up spending about 5 hours repartitioning my system drive and backing up some 3 400gb of data i didn t need on my ssd so overall rating 5 for the drive itself and the driver software zero for the migration software,week,2015-04-14 19:21:46,3,2015,4,14
1977,wicked fast,,don t waste your money on anything less running this bad boy with rapid mode enabled delivers unbelievable performance this drive is truly the top of its class,more expensive than other ssds out there but well worth the cost,week,2015-04-14 13:38:36,5,2015,4,14
1978,great ssd for beginners and enthusiasts,i have been building computers for years but had never really thought about getting an ssd until i bought an ultrabook that had one the difference truly is night and day when it comes to bootup and simple opening of programs installed onto it i can t wait for the day when these become affordable enough to warrant getting one for mass storage i still recommend a 120 250gb ssd for the boot and an hdd for mass storage though,1 plug and play2 fast3 sleek black color4 great easy to use software,no sata cable included not a real con though but it would be nice for them to include a simple one,month,2015-04-14 13:17:22,5,2015,4,14
1979,great ssd,i use this ssd as my boot and program drive boot times are solid and of course program loading times are essentially no existent meaning they load very quickly,excellent ssd read and write speeds are accurate as described in description,none at this time,month,2015-04-14 10:59:45,5,2015,4,14
1980,crazy fast,,speed greasy fast speed,bundled software settings the trim software monitoring settings all are junk i ve seen the apps stall on numerous ocassions for no apparrent reason works fine without them the disk migration was clunky but works fine,year,2015-04-14 07:45:40,4,2015,4,14
1981,samsung 850 evo 500gb and samsung magician,this is my first ssd and i tried to migrate from my 1tb seagate c os hhd i m running a desktop pc with an intel icore 7 8gb ram sata 3 and with ahci enabled as well as trim performance of the ssd is ok but the samsung magician migration software was a bust tried it twice with no positive results i was disappointed i then tried aomei backupper and ended up with an unhappy c os ssd it just did not seem to run properly i finally tried a restored from an existing current acronis true image c os drive backup all went well and upon installing the drive into the pc it was as if the existing seagate hdd had never left it now runs stable and it is just faster since that acronis restore and installing the ssd into my desktop pc i have waited 10 14 days to write this and i have noticed no issues i believe that in using the restore file it helps to negate any fragmentation of files that may occur using migration as well as any issues in going from a 1tb hhd to a 500gb ssd i may be wrong but this seems to make sense to me so if you are having any issues similar to mine try acronis i was shocked that it could be so far superior to samsung magician and aoemi backupper for what i wanted to do acronis did what it was supposed to and that ain t bad i do not believe other than boot that desktops users see the profound speed improvements that laptop users experience most desktops run 7200 rpm hhds whereas laptops run 5400 rpm hdds so there is an inherent slower speed from laptop hdds therefore a desktop users initial hhd speeds are far superior to laptops hdd speed so the sense of speed improvement will be far more noticeable for a laptop user do app programs and such load faster on the desktop pc yes but not enormously so also rendering videos and photoshop images etc will always show better performance using an ssd,no hibernation the drive is always accessible fast boot always a plus,samsung magician migration software at least for me,month,2015-04-13 13:00:16,4,2015,4,13
1982,spoiled,first pc build using an ssd for the os got a samsung due to numerous claims of it being the most dependable ssd on the market i don t think i can return to the old hdd standard ssd is so fast,ridiculously fast boot times stable,kinda pricey compared to similar ssds,year,2015-04-13 12:09:12,5,2015,4,13
1983,work great on ps3,just want to say that this drive works great in my ps3 super slim it s too early to tell however so far my games on ps3 are loading a lot faster all in digital format since the ps3 has only usb2 ports backing up 500 gb will take a day 500 gb is enough room for about 50 games mostly greatest hits,work on ps3 and it s made by samsung,none so far,week,2015-04-13 07:37:36,5,2015,4,13
1984,huge difference,should have done this from day one,data migration software that was included was super easy to use took only 30 mins to get my computer back up running used to take 2 minutes to boot including load times for start up programs now it takes only 20 seconds for everything to be ready,none so far,day,2015-04-12 07:25:45,5,2015,4,12
1985,stop lookong,,best ssd out there software is awesome as well price amazing stop looking and buy,nada,year,2015-04-12 01:16:25,5,2015,4,12
1986,samsung 850 evo 500gb,no complaints at all i bought a samsung because i have some old school 1 tb hard drives which are still alive and kicking while my wd 1tb drive died so to compare drive quality i decided to stick with the samsung since their old school drives held up why not stick with them the ssd now i hold to the same accountability even tho this is the new generation of hdd its fine because i enjoy trying different products,this drive is fast 7 9 on windows experience rating boots windows 7 in no time games load fast browsing is fast multitasking is quick i love this drive so far,i hope the drive will last 5 years last corsair ssd failed 2 years hopefully the ssd will stay around,week,2015-04-11 22:57:41,5,2015,4,11
1987,some hiccups,,great migration software,i ve already seen a couple bsod and had a failed boot,week,2015-04-11 13:47:28,3,2015,4,11
1988,incredibly fast,one of the most noticeable upgrades i ve ever seen in a pc i boot from cold to desktop in 10 seconds,was a snap to install lightning fast,wasn t free,week,2015-04-11 12:06:23,5,2015,4,11
1989,very fast even on sata ii,,the drive is incredibly fast even on sata ii which i currently have set up photoshop dreamweaver and illustrator all open super quick as do all other apps haven t tested any games yet but expect them to improve also,none,day,2015-04-10 20:36:19,5,2015,4,10
1990,ssd,i would highly recommend this to anyone wanting to speed things up,after bios screen disappears boot time is about 17 seconds whoo hoo,no free pizza,week,2015-04-10 19:22:45,5,2015,4,10
1991,fast,,very fast boot fast fast fast,cost,month,2015-04-10 13:48:09,5,2015,4,10
1992,it s true i can t go back,i did a fresh install of windows rather than migrate my old data because there are no moving parts i was able to mount this without a mounting kit it s not as nice to look at but it s inside the computer so i don t have to see it having a second 1tb hdd installed gives me plenty of extra space for any bulk files i want to have on my computer,installation was a cakewalk very fast drive plenty of space for my needs no moving parts,there was a promotion that said it came with a rosewill mounting bracket one never arrived i asked newegg and they said that the bracket and the discounted price are two separate promotions and cannot be used together event though they were mentioned together in the same email with no distinction between them,month,2015-04-10 11:52:11,5,2015,4,10
1993,has problem with sata iii add on cards,i have been using the 840 pro 256gb in two computers for over a year with no issues at all with an asus p5q pro motherboard with either 8 or 16 gb ram a processor running at 4 ghz and a generic sata iii add on card as the boot system ssd drive controller and large raid arrays as the user drives using the sata ii motherboard ports as the ssd drive was getting pretty full i thought it was time to upgrade to 500gb i have tried three different 850 evo 500gb drives and all experience file corruption within days of use hooked to the same add on port that the 840 pro works happily on samsung service states they will only support a drive with direct motherboard connections in my case that would mean reverting to the slower sata ii ports on the motherboard as if any were available with the raid so buyer beware,price is good warranty is good newegg return is good,will not work with sata iii add on board samsung will only support with direct motherboard connections,month,2015-04-10 07:43:09,1,2015,4,10
1994,,hope this batch lasts,very fast drive most benchmarks 550 mbps for what it s worth system boot under 10 sec,none so far,year,2015-04-10 06:21:21,5,2015,4,10
1995,solid performance,,got this ssd on sale for 110 and absolutely love it pc boots in 5 seconds every app i open loads instantly ready to use and installing applications programs and games takes barely any time at all highly recommend getting an ssd for any use and this one is especially good for the price,i wish hard drive companies would ship a sata cable with each product but that s not really a con,year,2015-04-09 20:09:48,5,2015,4,9
1996,so far just great,bought this 2 days before it went on sale called newegg and they were great did not want to send it back as a client wanted his computer back asap got a 50 dollar gift card could have rma d it but you have to pay for impatience sometimes great experiance,easy migration works as expected fast,none,week,2015-04-09 07:19:11,5,2015,4,9
1997,love this,,i just bought and built my entire computer and in the process i decided to have an ssd card with my 2 tb hdd wow what a difference in computer response and uploading speed everything is fast and no hiccups or lag when downloading anything major i just downloaded gta v while playing another game and saw no sign of lag this was the best choice of my computer buying imo along with everything else nothing is as fast as an ssd card i advise anyone to get this for better performance and speed lightning speed,none of yet,month,2015-04-08 22:33:23,5,2015,4,8
1998,great ssd,,the only thing i can say about this ssd is that its great if i had the cash i would by one for my wife computer im only using it for my operating system and using mechanical drives for storage,none,month,2015-04-08 18:43:23,5,2015,4,8
1999,fast as shhhhhh be quiet i think i saw a boot screen,i can t wait for 4 d variants to appear hahah,it worked right out of the box and windows xp boots insanely quick hahaha just kidding but it does work really well and the price point of 170ish is more realistic but still just barely,none yet and none expected i will update if anything happens because of the drive itself,week,2015-04-07 20:32:48,5,2015,4,7
